
2021-02-05 12:04:59.6918145
2021-02-05 13:05:03.6982946FEED MONEY5.05.0
2021-02-05 13:07:05.9782686FEED MONEY 5.0 5.0
2021-02-05 13:11:30.1655389 FEED MONEY: $5.00 $5.00
2021-02-05 13:16:46.6596525 FEED MONEY: $5.00 $5.00
2021-02-05 13:16:49.7074771 GIVE CHANGE: $5.00 $0.00
2021-02-05 13:26:56.7405119 FEED MONEY: $5.00 $5.00
2021-02-05 13:27:06.568551 Triplemint D4: $5.00 $4.25
2021-02-05 13:28:58.8254263 FEED MONEY: $2.00 $2.00
2021-02-05 13:29:24.0596872 Triplemint D4: $2.00 $0.50
2021-02-05 13:29:46.3042764 GIVE CHANGE: $0.50 $0.00
2021-02-05 13:30:05.0840903 FEED MONEY: $1.00 $1.50
2021-02-05 13:30:30.103343 FEED MONEY: $5.00 $5.00
2021-02-05 13:30:34.70904 Triplemint D4: $5.00 $4.15
2021-02-05 13:30:42.7187538 Triplemint D4: $4.15 $2.40
2021-02-05 13:30:54.478067 Triplemint D4: $2.40 $0.00
2021-02-05 13:31:16.6035226 FEED MONEY: $1.00 $3.40
2021-02-05 13:31:20.5192335 Triplemint D4: $3.40 $0.35
2021-02-05 13:31:26.8035015 GIVE CHANGE: $0.35 $0.00
2021-02-05 13:36:19.6161568 FEED MONEY: $5.00 $5.00
2021-02-05 13:36:24.239233 FEED MONEY: $1.00 $6.00
2021-02-05 13:36:28.7242661 Triplemint D4: $6.00 $5.15
2021-02-05 13:36:35.4004448 Triplemint D4: $5.15 $3.40
2021-02-05 13:36:40.5153723 Triplemint D4: $3.40 $0.35
2021-02-05 13:36:46.064547 GIVE CHANGE: $0.35 $0.00
2021-02-05 13:57:45.0 FEED MONEY: $2.00 $2.00
2021-02-05 13:59:51.0 FEED MONEY: $1.00 $1.00
2021-02-05 14:14:42.0 FEED MONEY: $2.00 $2.00
2021-02-05 14:14:48.0 Triplemint D4: $2.00 $1.25
2021-02-05 14:14:52.0 GIVE CHANGE: $1.25 $0.00
2021-02-05 14:18:38.0 FEED MONEY: $2.00 $2.00
2021-02-05 14:18:44.0 Triplemint D4: $2.00 $0.50
